batch_start,batch_size,seconds,chunks_per_sec
0,64,7.8368,8.2
64,64,5.6173,11.4
128,64,5.8523,10.9
192,64,7.1796,8.9
256,64,5.488,11.7
320,64,7.4784,8.6
384,64,5.8372,11.0
448,64,7.291,8.8
512,64,5.8105,11.0
576,64,6.4211,10.0
640,64,7.7927,8.2
704,64,6.2234,10.3
768,64,6.9607,9.2
832,64,6.8348,9.4
896,64,9.7482,6.6
960,64,5.9455,10.8
1024,64,7.7055,8.3
1088,64,5.2047,12.3
1152,64,6.0064,10.7
1216,64,6.7595,9.5
1280,64,5.1815,12.4
1344,64,7.3379,8.7
1408,64,6.245,10.2
1472,64,8.479,7.5
1536,64,5.5151,11.6
1600,64,5.8423,11.0
1664,64,8.6276,7.4
1728,64,5.4696,11.7
1792,64,8.9407,7.2
1856,64,5.4013,11.8
1920,64,7.1916,8.9
1984,64,5.9843,10.7
2048,64,6.9926,9.2
2112,64,6.1129,10.5
2176,64,5.3708,11.9
2240,64,9.1599,7.0
2304,64,6.0792,10.5
2368,64,9.1092,7.0
2432,64,6.5329,9.8
2496,64,7.5154,8.5
2560,64,5.4789,11.7
2624,64,7.305,8.8
2688,64,6.3452,10.1
2752,64,6.7417,9.5
2816,64,6.5088,9.8
2880,64,13.3313,4.8
2944,64,6.314,10.1
3008,64,5.0629,12.6
3072,64,7.8132,8.2
3136,64,4.9286,13.0
3200,64,6.8368,9.4
3264,64,5.5771,11.5
3328,64,6.0977,10.5
3392,64,7.3451,8.7
3456,64,5.821,11.0
3520,64,7.1309,9.0
3584,64,5.2254,12.2
3648,64,6.0902,10.5
3712,64,6.455,9.9
3776,64,5.5642,11.5
3840,64,8.9082,7.2
3904,64,5.4993,11.6
3968,64,9.0757,7.1
4032,64,5.0671,12.6
4096,64,7.3539,8.7
4160,64,6.7882,9.4
4224,64,5.1242,12.5
4288,64,7.1483,9.0
4352,64,7.1191,9.0
4416,64,8.3529,7.7
4480,64,6.0319,10.6
4544,64,7.2109,8.9
4608,64,6.4846,9.9
4672,64,6.8444,9.4
4736,64,7.5691,8.5
4800,64,5.7217,11.2
4864,64,7.4087,8.6
4928,64,5.1959,12.3
4992,64,8.1353,7.9
5056,64,5.4987,11.6
5120,64,7.7236,8.3
5184,64,6.3605,10.1
5248,64,5.5808,11.5
5312,64,7.1358,9.0
5376,64,5.4105,11.8
5440,64,9.675,6.6
5504,64,5.849,10.9
5568,64,8.0632,7.9
5632,64,6.5069,9.8
5696,64,6.5607,9.8
5760,64,6.008,10.7
5824,64,6.2787,10.2
5888,64,7.0772,9.0
5952,64,7.3686,8.7
6016,64,7.8641,8.1
6080,64,5.5758,11.5
6144,64,8.9114,7.2
6208,64,6.7578,9.5
6272,64,7.5936,8.4
6336,64,5.6793,11.3
6400,64,7.8861,8.1
6464,64,6.1315,10.4
6528,64,6.8754,9.3
6592,64,7.9276,8.1
6656,64,7.7398,8.3
6720,64,6.9971,9.1
6784,64,6.4461,9.9
6848,64,6.9398,9.2
6912,64,4.962,12.9
6976,64,8.0448,8.0
7040,64,7.9708,8.0
7104,64,6.3632,10.1
7168,64,6.6066,9.7
7232,64,5.8207,11.0
7296,64,7.6222,8.4
7360,64,5.9599,10.7
7424,64,8.6478,7.4
7488,64,5.777,11.1
7552,64,7.831,8.2
7616,64,7.2299,8.9
7680,64,7.6826,8.3
7744,64,7.6145,8.4
7808,64,7.3949,8.7
7872,64,7.4429,8.6
7936,64,8.6181,7.4
8000,64,5.8849,10.9
8064,64,6.7969,9.4
8128,64,6.3151,10.1
8192,64,6.7874,9.4
8256,64,7.6907,8.3
8320,64,7.6284,8.4
8384,64,7.9599,8.0
8448,64,6.6279,9.7
8512,64,14.0951,4.5
8576,64,10.5892,6.0
8640,64,5.0117,12.8
8704,64,6.0654,10.6
8768,64,6.3237,10.1
8832,64,4.9882,12.8
8896,64,6.1936,10.3
8960,64,5.444,11.8
9024,64,4.8464,13.2
9088,64,7.6813,8.3
9152,64,5.0738,12.6
9216,64,5.7438,11.1
9280,64,6.3217,10.1
9344,64,5.6135,11.4
9408,64,6.9612,9.2
9472,64,5.292,12.1
9536,64,4.9715,12.9
9600,64,7.9745,8.0
9664,64,4.917,13.0
9728,64,6.9865,9.2
9792,64,5.7102,11.2
9856,64,6.5365,9.8
9920,64,6.5541,9.8
9984,64,5.583,11.5
10048,64,6.8135,9.4
10112,64,5.4079,11.8
10176,64,5.8605,10.9
10240,64,6.6763,9.6
10304,64,5.3229,12.0
10368,64,8.339,7.7
10432,64,6.874,9.3
10496,64,5.7722,11.1
10560,64,5.8565,10.9
10624,64,5.5374,11.6
10688,64,7.0818,9.0
10752,64,4.9369,13.0
10816,64,4.7531,13.5
10880,64,7.0666,9.1
10944,64,4.8471,13.2
11008,64,6.4035,10.0
11072,64,5.923,10.8
11136,64,5.3294,12.0
11200,64,6.9604,9.2
11264,64,5.8021,11.0
11328,64,6.6168,9.7
11392,64,6.5592,9.8
11456,64,4.979,12.9
11520,64,6.8644,9.3
11584,64,4.757,13.5
11648,8,0.5376,14.9
